"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"141","20 or Younger","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Northwest HS - Germantown","White","MD","Full-Time","Continuing",20874
"142","25 - 29","Day Only","Yes","Yes","Yes","Rockville","Montgomery","Unknown",2015,"Female","Other State","Mental Health Associate (AA & AAS)","","Black","MD","Part-Time","Continuing",20853
"143","20 or Younger","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Engineering Science (AA & AS - All Tracks)","Springbrook Sr High School","Asian","MD","Full-Time","Continuing",20904
"144","20 or Younger","Day Only","Yes","No","No","Rockville","Montgomery","Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Rockville High School","Hispanic","MD","Part-Time","Continuing",20853
"145","21 - 24","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Graphic Design (AA, AAS, & AFA - All Tracks)","Seneca Valley High School","Asian","MD","Full-Time","Continuing",20874
"146","30 or Older","Day & Evening","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Interior Design - PreProfessional (AAS)","","Black","MD","Part-Time","Continuing",20910
"147","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","Asian","MD","Part-Time","Continuing",20904
"148","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Gaithersburg High School","White","MD","Part-Time","Continuing",20877
"149","20 or Younger","Day & Evening","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","White","MD","Full-Time","Continuing",20901
"150","20 or Younger","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Quince Orchard Sr High School","White","MD","Full-Time","Continuing",20878
"151","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","White","MD","Part-Time","Continuing",20902
"152","20 or Younger","Day Only","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Walt Whitman High School","Asian","MD","Full-Time","New",20816
"153","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Watkins Mill High School","Black","MD","Full-Time","New",20876
"154","20 or Younger","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Education / Teacher Education (AA & AAT)","","White","MD","Part-Time","Continuing",20902
"155","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Richard Montgomery High School","White","MD","Full-Time","Continuing",20851
"156","21 - 24","Evening Only","Yes","No","No","Burtonsville","Montgomery","Not Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Springbrook Sr High School","White","MD","Part-Time","Continuing",20866
"157","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","Asian","MD","Full-Time","Continuing",20901
"158","25 - 29","Evening Only","Yes","No","Yes","Germantown","Montgomery","Hispanic",2015,"Male","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Northwest HS - Germantown","White","MD","Part-Time","Continuing",20874
"159","21 - 24","Day Only","No","No","Yes","Beltsville","Prince George's","Not Hispanic",2015,"Male","Other Maryland","Communication Studies (AA)","","Black","MD","Part-Time","Transfer no degree",20705
"160","21 - 24","Day & Evening","Yes","No","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Watkins Mill High School","Black","MD","Full-Time","Continuing",20886
"161","30 or Older","Evening Only","No","No","Yes","Burtonsville","Montgomery","Hispanic",2015,"Female","Other Maryland","Early Childhood Education (AA & AAS)","","Hispanic","MD","Part-Time","Continuing",20866
"162","20 or Younger","Day & Evening","No","No","Yes","Hyattsville","Prince George's","Hispanic",2015,"Male","Mont.County Other","Engineering Science (AA & AS - All Tracks)","","Black","MD","Part-Time","New",20782
"163","30 or Older","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Asian","MD","Part-Time","Continuing",20878
"164","30 or Older","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Asian","MD","Part-Time","Continuing",20878
"165","30 or Older","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Part-Time","Continuing",20906
"166","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Unknown",2015,"Female","MCPS","General Studies (AA - All Tracks)","Wheaton High School","Black","MD","Part-Time","Continuing",20902
"167","21 - 24","Evening Only","No","No","Yes","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","Criminal Justice (AA & AAS)","Seneca Valley High School","Hispanic","MD","Part-Time","Continuing",20874
"168","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Clarksburg High School","Black","MD","Part-Time","Continuing",20876
"169","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Clarksburg High School","Black","MD","Part-Time","Continuing",20876
"170","30 or Older","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Part-Time","Continuing",20878
"171","21 - 24","No Specific Time[online]","No","Yes","No","Silver Spring","Montgomery","Unknown",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Montgomery Blair High School","Black","MD","Part-Time","Continuing",20906
"172","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Unknown","MCPS","Automotive Technology (AA & AAS)","Wheaton High School","Unknown","MD","Part-Time","New",20853
"173","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Commun & Broadcasting Tech (AA & AAS - All Tracks)","John F. Kennedy High School","Hispanic","MD","Part-Time","Continuing",20906
"174","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Colonel Zadok Magruder HS","Multi-Race","MD","Full-Time","Continuing",20877
"175","20 or Younger","Evening Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","Multi-Race","MD","Part-Time","Continuing",20852
"176","30 or Older","Day & Evening","No","Yes","No","Bethesda","Montgomery","Unknown",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","White","MD","Full-Time","Continuing",20814
"177","20 or Younger","Day Only","Yes","No","No","Clarksburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Clarksburg High School","Black","MD","Full-Time","New",20871
"178","30 or Older","No Specific Time[online]","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Other State","Paralegal Studies (AA & AAS)","","Black","MD","Full-Time","Continuing",20879
"179","30 or Older","Day & Evening","No","Yes","No","North Bethesda","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","White","MD","Part-Time","Continuing",20852
"180","21 - 24","Day Only","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","White","MD","Part-Time","Continuing",20874
"181","25 - 29","Day Only","No","No","Yes","Hyattsville","Prince George's","Not Hispanic",2015,"Male","Other State","Polysomnography Technology (CT)","","Black","MD","Part-Time","Continuing",20782
"182","21 - 24","Day Only","No","No","Yes","Boyds","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Northwest HS - Germantown","Black","MD","Part-Time","Continuing",20841
"183","30 or Older","Day Only","No","Yes","Yes","Burtonsville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20866
"184","30 or Older","Evening Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Criminal Justice (AA & AAS)","Seneca Valley High School","Multi-Race","MD","Part-Time","Continuing",20879
"185","25 - 29","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","Multi-Race","MD","Part-Time","New",20902
"186","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Accounting (CT)","Albert Einstein HS & MC Art Cn","Black","MD","Part-Time","Continuing",20904
"187","30 or Older","No Specific Time[online]","Yes","No","No","Bethesda","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Management (CT)","","White","MD","Part-Time","New",20817
"188","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Science (AS - All Tracks)","","Asian","MD","Part-Time","New",20903
"189","30 or Older","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","White","MD","Part-Time","Continuing",20852
"190","20 or Younger","Day Only","Yes","No","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","MCPS","Microcomputer Technician (AA & AAS)","Watkins Mill High School","Black","MD","Full-Time","Continuing",20886
"191","25 - 29","Day Only","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Winston Churchill High School","White","MD","Part-Time","Continuing",20854
"192","21 - 24","Evening Only","No","No","Yes","Bethesda","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20817
"193","20 or Younger","Day Only","Yes","No","No","Clarksburg","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Education / Teacher Education (AA & AAT)","","White","MD","Part-Time","Continuing",20871
"194","25 - 29","No Specific Time[online]","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Transfer no degree",20817
"195","25 - 29","Day Only","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","GED","Computer Gaming & Simulation (AA - All Tracks)","","White","MD","Part-Time","New",20817
"196","20 or Younger","Day Only","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","New",20854
"197","30 or Older","Evening Only","No","No","Yes","Beltsville","Prince George's","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Paint Branch High School","Black","MD","Part-Time","Continuing",20705
"198","30 or Older","Day Only","Yes","Yes","No","Germantown","Montgomery","Hispanic",2015,"Female","Foreign Country","Education / Teacher Education (AA & AAT)","","Hispanic","MD","Full-Time","Continuing",20874
"199","20 or Younger","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","James Hubert Blake High School","Asian","MD","Full-Time","Continuing",20905
"200","20 or Younger","No Specific Time[online]","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","John F. Kennedy High School","Black","MD","Part-Time","Continuing",20906
"201","25 - 29","Evening Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","Credit (Undeclared / Undecided)","Rockville High School","Hispanic","MD","Part-Time","Continuing",20851
"202","30 or Older","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Rockville High School","White","MD","Part-Time","Continuing",20874
"203","21 - 24","Day & Evening","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Hospitality Management (AA & AAS)","","White","MD","Full-Time","Continuing",20853
"204","21 - 24","No Specific Time[online]","No","No","Yes","Waldorf","Charles","Not Hispanic",2015,"Female","Other Maryland","Diagnostic Medical Sonography (AA & AAS)","","White","MD","Part-Time","Transfer with degree",20603
"205","25 - 29","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","Foreign Country","Nursing (AA & AAS)","","White","MD","Part-Time","Continuing",20906
"206","21 - 24","Day Only","No","Yes","Yes","Cheverly","Prince George's","Not Hispanic",2015,"Male","Other State","Arts & Sciences Transfer (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20785
"207","20 or Younger","Day Only","No","Yes","No","Derwood","Montgomery","Not Hispanic",2015,"Male","MCPS","Fire Sci./Preven., Emerg. Prepare. (AA, AS & AAS)","Poolesville Jr-Sr High School","White","MD","Full-Time","Continuing",20855
"208","20 or Younger","Day & Evening","No","No","Yes","Hyattsville","Prince George's","Not Hispanic",2015,"Male","Other State","Science (AS - All Tracks)","","Black","MD","Full-Time","New",20783
"209","21 - 24","Day Only","No","No","Yes","Washington","Other","Not Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","Black","DC","Part-Time","New",20009
"210","30 or Older","Evening Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","Asian","MD","Part-Time","Continuing",20850
"211","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Colonel Zadok Magruder HS","Black","MD","Part-Time","Continuing",20906
