"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"519","20 or Younger","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","Other Maryland","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","New",20906
"520","30 or Older","Day Only","No","Yes","No","Laytonsville","Montgomery","Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","Hispanic","MD","Part-Time","New",20882
"521","20 or Younger","Day Only","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Female","Other Maryland","General Studies (AA - All Tracks)","","White","MD","Full-Time","Continuing",20817
"522","20 or Younger","Day Only","No","Yes","Yes","Takoma Park","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Northwood High School","Native American","MD","Full-Time","New",20912
"523","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Transfer no degree",20876
"524","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Montgomery Blair High School","Native American","MD","Part-Time","Continuing",20850
"525","30 or Older","Evening Only","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Other State","Cybersecurity (AAS)","","White","MD","Part-Time","Continuing",20878
"526","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","James Hubert Blake High School","Black","MD","Part-Time","New",20904
"527","30 or Older","No Specific Time[online]","No","No","Yes","Pikesville","Baltimore","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Transfer no degree",21208
"528","20 or Younger","Evening Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Northwood High School","White","MD","Full-Time","Continuing",20906
"529","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","Northwest HS - Germantown","Asian","MD","Part-Time","New",20874
